sensor_id,b0_Bx,b0_By,b0_Bz,target_Bx,target_By,target_Bz,final_Bx,final_By,final_Bz,err_Bx,err_By,err_Bz,success,n_coils_used,coils_used
1,-16.384,16.944,23.338,0.0,0.0,0.0,-1.8114462186979665,0.1516269142105564,0.31825381756173954,-1.8114462186979665,0.1516269142105564,0.31825381756173954,False,17,r9;r8;r16;r10;c2;c3;r6;r13;r5;r14;r12;r3;r15;r4;r1;r7;r11
2,-16.62,6.404,26.633,0.0,0.0,0.0,-2.8088925459002,-1.2425215000431944,0.4496886599936296,-2.8088925459002,-1.2425215000431944,0.4496886599936296,False,17,r9;r8;r16;r10;r5;r3;r4;r12;r14;r11;r7;r15;r1;r6;c3;c2;r13
3,-20.917,8.672,26.189,0.0,0.0,0.0,0.0,1.7763568394002505e-15,3.552713678800501e-15,0.0,1.7763568394002505e-15,3.552713678800501e-15,True,9,r9;r8;r10;r16;c3;r15;r1;r7;r11
4,-19.469,14.209,23.518,0.0,0.0,0.0,-3.0196189748727242,-0.017578768142616497,0.5768022405866837,-3.0196189748727242,-0.017578768142616497,0.5768022405866837,False,17,r10;r9;r8;r16;r3;r4;r5;r6;r12;c3;r13;r14;r15;r1;r7;r11;c2
5,-21.511,1.991,25.96,0.0,0.0,0.0,-6.100160315232969,0.7277656499630729,0.45789970527195933,-6.100160315232969,0.7277656499630729,0.45789970527195933,False,17,r8;r9;r1;r16;r10;c2;r3;r5;r13;r12;r14;r4;c3;r11;r7;r15;r6
6,-16.644,5.081,26.809,0.0,0.0,0.0,-1.3141487897883053e-11,1.7780443783976807e-11,1.687538997430238e-12,-1.3141487897883053e-11,1.7780443783976807e-11,1.687538997430238e-12,True,8,r8;r16;r9;r10;c2;r7;r11;r1
7,-7.085,-9.903,25.841,0.0,0.0,0.0,-1.0658141036401503e-13,-3.019806626980426e-14,2.842170943040401e-14,-1.0658141036401503e-13,-3.019806626980426e-14,2.842170943040401e-14,True,7,r7;r8;r9;r11;c2;r10;r16
8,-8.436,-29.356,16.337,0.0,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15,True,16,r7;r8;r9;r1;r16;c3;r4;r15;r5;r12;r14;r3;r13;r6;r10;c2
9,-4.417,-25.869,21.001,0.0,0.0,0.0,-5.087485988042317e-12,-7.44648787076585e-12,8.704148513061227e-13,-5.087485988042317e-12,-7.44648787076585e-12,8.704148513061227e-13,True,7,r8;r7;r1;r9;r16;c2;r10
10,26.151,0.507,8.54,0.0,0.0,0.0,3.552713678800501e-15,6.106226635438361e-15,-3.552713678800501e-15,3.552713678800501e-15,6.106226635438361e-15,-3.552713678800501e-15,True,5,r8;r9;r10;r7;r1
11,-17.641,15.061,23.302,0.0,0.0,0.0,-4.298783551348606e-13,-8.881784197001252e-14,7.460698725481052e-14,-4.298783551348606e-13,-8.881784197001252e-14,7.460698725481052e-14,True,12,r8;r9;r10;r16;c3;r4;r12;r6;r1;r7;r15;r11
12,-6.593,-26.275,17.631,0.0,0.0,0.0,8.881784197001252e-16,-7.105427357601002e-15,3.552713678800501e-15,8.881784197001252e-16,-7.105427357601002e-15,3.552713678800501e-15,True,7,r7;r8;r1;r9;r6;r10;c3
13,21.924,-15.481,11.18,0.0,0.0,0.0,-7.105427357601002e-15,0.0,3.552713678800501e-15,-7.105427357601002e-15,0.0,3.552713678800501e-15,True,4,r7;r1;r8;r10
