sensor_id,component,slope_per_V,intercept,r2,rmse,n_points,V_min,V_max,tag,coil
1,Bx,-0.04900000000000005,-12.828999999999997,0.9934657181917186,0.022214859891523102,4,0.0,15.0,ET6VK2,c1
1,By,0.00270000000000007,4.4055,0.9665871121718381,0.0028062430400804437,4,0.0,15.0,ET6VK2,c1
1,Bz,-0.026299999999999372,26.121000000000002,0.8666512971766099,0.05767039968649398,4,0.0,15.0,ET6VK2,c1
2,Bx,-0.04714000000000032,-13.689700000000004,0.8765724762709474,0.09888414938704794,4,0.0,15.0,ET6QKM,c1
2,By,-0.0013200000000001598,-6.5371,0.07707006369427871,0.0255352697263997,4,0.0,15.0,ET6QKM,c1
2,Bz,-0.011099999999999813,25.695500000000006,0.2344579551293008,0.11212437290794602,4,0.0,15.0,ET6QKM,c1
3,Bx,-0.022760000000000124,-22.072300000000002,0.9580144991862659,0.026635502623379787,4,0.0,15.0,ET5CK4,c1
3,By,-0.0005800000000001117,-4.401399999999999,0.09716926632002165,0.009883066325791903,4,0.0,15.0,ET5CK4,c1
3,Bz,-0.02167999999999929,25.247100000000003,0.6712687803484694,0.08481185058704964,4,0.0,15.0,ET5CK4,c1
4,Bx,-0.03618000000000037,-15.861899999999999,0.7894598953250903,0.1044469961272226,4,0.0,15.0,D8FKL5,c1
4,By,-0.0003599999999999723,2.3342,0.051428571428573044,0.008642916174532734,4,0.0,15.0,D8FKL5,c1
4,Bz,-0.02273999999999911,25.5508,0.7369333420739834,0.07595113560704711,4,0.0,15.0,D8FKL5,c1
5,Bx,-0.04244000000000037,-31.0887,0.962887153475719,0.046577355012925696,4,0.0,15.0,D8FK84,c1
5,By,0.012759999999999938,-1.5231999999999997,0.7414010418563979,0.04212718837045743,4,0.0,15.0,D8FK84,c1
5,Bz,-0.00551999999999967,22.3109,0.07419788440185138,0.10900022935755595,4,0.0,15.0,D8FK84,c1
6,Bx,-0.006080000000000254,-26.9834,0.2685887003022145,0.05608743174722984,4,0.0,15.0,ET6SJ2,c1
6,By,0.02074000000000006,5.5832,0.9827766937941811,0.01534845269074382,4,0.0,15.0,ET6SJ2,c1
6,Bz,-0.01089999999999954,22.585500000000003,0.20790533753775475,0.11893433061988465,4,0.0,15.0,ET6SJ2,c1
7,Bx,0.027259999999999878,-3.269199999999999,0.9377485683422555,0.03926289597062336,4,0.0,15.0,ET6QMT,c1
7,By,-0.002159999999999926,3.577199999999999,0.2117647058823552,0.023295922389980586,4,0.0,15.0,ET6QMT,c1
7,Bz,0.01966000000000044,24.885300000000008,0.7200499264144197,0.06852791402049335,4,0.0,15.0,ET6QMT,c1
8,Bx,0.02285999999999993,-3.9252,0.48928200259537424,0.13056061810515468,4,0.0,15.0,ET6NV9,c1
8,By,-0.004860000000000838,-17.403299999999998,0.39299191374662235,0.03376499666814772,4,0.0,15.0,ET6NV9,c1
8,Bz,-0.01063999999999934,22.0238,0.3441272311657967,0.08211394522247721,4,0.0,15.0,ET6NV9,c1
9,Bx,0.02897999999999995,-1.6995999999999998,0.8389628448642722,0.0709765806446041,4,0.0,15.0,ET6Q05,c1
9,By,-0.005760000000000347,-13.979300000000004,0.520677966101684,0.030894174208093178,4,0.0,15.0,ET6Q05,c1
9,Bz,-0.01894000000000011,26.063800000000004,0.7424806785582696,0.06235443047611019,4,0.0,15.0,ET6Q05,c1
10,Bx,0.7738599999999999,4.901800000000006,0.7822649560865336,2.2823100304296964,4,0.0,15.0,F47PQM,c1
10,By,-0.00017999999999994336,2.2890999999999995,7.419654757045979e-05,0.11681256353663344,4,0.0,15.0,F47PQM,c1
10,Bz,0.035100000000000214,16.6425,0.8206626797349977,0.09172445148377646,4,0.0,15.0,F47PQM,c1
11,Bx,-0.0387200000000002,-15.834599999999996,0.9637884039784834,0.04195592925916388,4,0.0,15.0,F47MNY,c1
11,By,0.0017400000000000481,2.9751999999999996,0.3796839729119623,0.012432819471061236,4,0.0,15.0,F47MNY,c1
11,Bz,-0.016859999999998952,25.58719999999999,0.3451469784722949,0.12982324522210972,4,0.0,15.0,F47MNY,c1
12,Bx,0.008979999999999932,-3.0126,0.1549614712042896,0.11722702333506552,4,0.0,15.0,ET5A8J,c1
12,By,-0.0016200000000003106,-14.718599999999997,0.16363636363639322,0.020473763698938812,4,0.0,15.0,ET5A8J,c1
12,Bz,-0.02345999999999915,22.896699999999992,0.8518761124955497,0.054686149983336436,4,0.0,15.0,ET5A8J,c1
13,Bx,-0.029279999999999785,10.619100000000001,0.9092473337236223,0.05171121735175094,4,0.0,15.0,F47OYK,c1
13,By,0.026539999999999914,-10.0293,0.9940131016322002,0.011514121764164238,4,0.0,15.0,F47OYK,c1
13,Bz,-0.008939999999999898,18.766800000000003,0.4969198821174112,0.05028493810277547,4,0.0,15.0,F47OYK,c1
