sensor_id,component,slope_per_V,intercept,r2,rmse,n_points,V_min,V_max,tag,coil
1,Bx,-0.9084999999999999,-14.298833333333334,0.9987124436687803,0.1331717771234676,3,0.0,10.0,ET6VK2,r5
1,By,-0.4125000000000005,17.31516666666666,0.9999172397852348,0.01532064692570883,3,0.0,10.0,ET6VK2,r5
1,Bz,0.7831999999999992,23.736333333333334,0.9994847583095866,0.07259629620181884,3,0.0,10.0,ET6VK2,r5
2,Bx,-0.9692999999999999,-16.22683333333333,0.9983088453126843,0.1628702619333012,3,0.0,10.0,ET6QKM,r5
2,By,-0.6410000000000001,6.753333333333329,0.9999371795928037,0.020741798914805282,3,0.0,10.0,ET6QKM,r5
2,Bz,0.7246999999999995,27.229166666666657,0.9999715095404388,0.015792051446498766,3,0.0,10.0,ET6QKM,r5
3,Bx,-0.9841000000000004,-21.54283333333333,0.9972505196287069,0.21095352305398657,3,0.0,10.0,ET5CK4,r5
3,By,-0.8347,9.01183333333333,0.9999954023139843,0.007306770072260735,3,0.0,10.0,ET5CK4,r5
3,Bz,0.9621999999999983,26.716333333333342,0.9998700432628498,0.04478342947514747,3,0.0,10.0,ET5CK4,r5
4,Bx,-0.9089999999999993,-17.325,0.9984616352806815,0.14566399692442927,3,0.0,10.0,D8FKL5,r5
4,By,-0.5095999999999998,14.759999999999996,0.9998960415550396,0.021213203435595976,3,0.0,10.0,D8FKL5,r5
4,Bz,0.9064000000000001,23.706,0.9999947417446852,0.008485281374240566,3,0.0,10.0,D8FKL5,r5
5,Bx,-1.8114999999999999,-22.55950000000001,0.9996524935624109,0.13788582233137697,3,0.0,10.0,D8FK84,r5
5,By,0.32870000000000005,2.4175000000000004,0.9999530767405382,0.009192388155424943,3,0.0,10.0,D8FK84,r5
5,Bz,0.8592999999999993,26.319833333333325,0.9978491500773157,0.16287026193330204,3,0.0,10.0,D8FK84,r5
6,Bx,-1.1883000000000006,-17.526500000000002,0.981380412174843,0.6682159082212868,3,0.0,10.0,ET6SJ2,r5
6,By,1.0385,5.226833333333336,0.9998544802271296,0.051147390505826854,3,0.0,10.0,ET6SJ2,r5
6,Bz,0.7620999999999994,27.301833333333327,0.9993252390853383,0.08084587531566109,3,0.0,10.0,ET6SJ2,r5
7,Bx,1.07,-6.180666666666662,0.9967516002612316,0.24937299149845582,3,0.0,10.0,ET6QMT,r5
7,By,0.7267999999999999,-10.22966666666666,0.9995333578024462,0.06411101482758047,3,0.0,10.0,ET6QMT,r5
7,Bz,0.9578999999999999,26.5445,0.9998702505116426,0.0445477272147525,3,0.0,10.0,ET6QMT,r5
8,Bx,0.8315,-6.161833333333329,0.9990461944833652,0.10488750587600441,3,0.0,10.0,ET6NV9,r5
8,By,0.19160000000000063,-29.654666666666667,0.9995803151847484,0.01602775370689624,3,0.0,10.0,ET6NV9,r5
8,Bz,0.8350999999999995,16.583500000000004,0.9995954129196221,0.0685893577750952,3,0.0,10.0,ET6NV9,r5
9,Bx,0.8226999999999999,-3.453166666666663,0.9996276945291531,0.06481812160876704,3,0.0,10.0,ET6Q05,r5
9,By,0.30339999999999984,-26.086,0.9991859025236587,0.035355339059328715,3,0.0,10.0,ET6Q05,r5
9,Bz,1.1558999999999995,21.3655,0.99914694052153,0.13788582233137614,3,0.0,10.0,ET6Q05,r5
10,Bx,-0.007900000000000233,25.661499999999993,0.031001013332274008,0.18031222920256976,3,0.0,10.0,F47PQM,r5
10,By,0.6946,0.7626666666666698,0.9998142126288938,0.0386551707048645,3,0.0,10.0,F47PQM,r5
10,Bz,0.9441999999999997,8.533000000000003,0.9994660477777596,0.08909545442950585,3,0.0,10.0,F47PQM,r5
11,Bx,-0.8374999999999996,-16.701500000000003,0.9965861898993835,0.200111219075793,3,0.0,10.0,F47MNY,r5
11,By,-0.5796000000000001,15.441666666666661,0.9999456672315978,0.01744196726926772,3,0.0,10.0,F47MNY,r5
11,Bz,1.0824,23.685000000000002,0.9993611743664382,0.11172287142747456,3,0.0,10.0,F47MNY,r5
12,Bx,0.8105999999999999,-4.56633333333333,0.9998168979440064,0.04478342947514797,3,0.0,10.0,ET5A8J,r5
12,By,0.2381000000000005,-26.6815,0.9994240561537316,0.023334523779156114,3,0.0,10.0,ET5A8J,r5
12,Bz,0.9617999999999998,18.173666666666662,0.9996801084423879,0.07023927359786498,3,0.0,10.0,ET5A8J,r5
13,Bx,0.2732999999999997,22.435499999999994,0.8920160191232045,0.38820162287141424,3,0.0,10.0,F47OYK,r5
13,By,0.6443000000000001,-15.500833333333329,0.9997597350996185,0.040776491048424256,3,0.0,10.0,F47OYK,r5
13,Bz,1.0824,11.29766666666667,0.9992312663708423,0.1225651754056673,3,0.0,10.0,F47OYK,r5
